table_name,column_name,data_type,is_nullable,column_default
questions,id,bigint,NO,
assignmenttemplates,id,bigint,NO,
assignmenttemplateitems,id,bigint,NO,
assignmentdrafts,id,bigint,NO,
assignmentdraftitems,id,bigint,NO,
teachers,id,bigint,NO,
classes,id,bigint,NO,
teacherclasses,id,bigint,NO,
questiontypes,id,bigint,NO,
courses,id,bigint,NO,
questioncategories,id,bigint,NO,
students,id,bigint,NO,
studentclasses,id,bigint,NO,
coursesessions,id,bigint,NO,
classcourseapplications,id,bigint,NO,
publishedassignments,id,bigint,NO,
randomrules,id,bigint,NO,
studentassignmentitems,id,bigint,NO,
studentsubmissions,id,bigint,NO,
generatedschedules,id,bigint,NO,
questionsnapshots,id,bigint,NO,
grading,id,bigint,NO,
generalfeedback,id,bigint,NO,
inlineannotations,id,bigint,NO,
criterionscores,id,bigint,NO,
rubrics,id,bigint,NO,
rubriccriteria,id,bigint,NO,
classstudents,id,bigint,NO,
studentassignmentitems,end_time,timestamp with time zone,YES,
questionsnapshots,question_category_id,bigint,YES,
generatedschedules,class_id,bigint,YES,
generalfeedback,weaknesses,text,YES,
classcourseapplications,course_id,bigint,YES,
publishedassignments,published_at,timestamp with time zone,YES,
studentsubmissions,submitted_at,timestamp with time zone,YES,now()
studentsubmissions,assignment_item_id,bigint,NO,
criterionscores,grading_id,bigint,NO,
questionsnapshots,version,text,YES,
questionsnapshots,question_type_id,bigint,YES,
coursesessions,title,text,NO,
rubrics,name,text,NO,
classcourseapplications,start_date,date,NO,
inlineannotations,submission_id,bigint,NO,
coursesessions,session_number,integer,NO,
assignmentdraftitems,question_id,bigint,NO,
assignmentdrafts,original_set_id,bigint,YES,
studentassignmentitems,time_limit,interval,YES,
studentclasses,class_id,bigint,NO,
questions,created_at,timestamp with time zone,YES,now()
publishedassignments,instance_id,bigint,NO,
studentsubmissions,content,text,YES,
studentsubmissions,file_type,text,NO,
publishedassignments,status,text,NO,'Draft'::text
questions,category_id,bigint,NO,
studentassignmentitems,assignment_id,bigint,NO,
classcourseapplications,writing_day,text,YES,
inlineannotations,annotation_position,integer,YES,
randomrules,category_id,bigint,NO,
rubriccriteria,rubric_id,bigint,NO,
classes,class_code,text,YES,
assignmenttemplateitems,question_id,bigint,NO,
studentassignmentitems,question_id,bigint,NO,
classstudents,student_id,bigint,YES,
questioncategories,type_id,bigint,NO,
questions,type_id,bigint,NO,
generatedschedules,status,text,YES,'Scheduled'::text
generalfeedback,grading_id,bigint,NO,
grading,teacher_id,bigint,NO,
students,name,text,NO,
courses,name,text,NO,
criterionscores,criterion_id,bigint,YES,
studentassignmentitems,available_from,timestamp with time zone,YES,
studentsubmissions,status,text,NO,'submitted'::text
teacherclasses,class_id,bigint,NO,
questionsnapshots,instructions,text,YES,
studentassignmentitems,start_time,timestamp with time zone,YES,
randomrules,question_type_id,bigint,NO,
questions,updated_at,timestamp with time zone,YES,now()
classes,name,text,NO,
questiontypes,name,text,NO,
assignmenttemplateitems,set_id,bigint,NO,
courses,created_by,bigint,YES,
coursesessions,content,text,YES,
rubriccriteria,name,text,NO,
generalfeedback,strengths,text,YES,
questionsnapshots,response_type,text,YES,
teacherclasses,teacher_id,bigint,NO,
grading,overall_band_score,numeric,YES,
questionsnapshots,timer,interval,YES,
randomrules,assignment_set_id,bigint,NO,
studentassignmentitems,snapshot_id,bigint,YES,
generalfeedback,rich_text_feedback,text,YES,
courses,description,text,YES,
studentsubmissions,file_path,text,YES,
grading,grading_timestamp,timestamp with time zone,YES,now()
classcourseapplications,speaking_day,text,YES,
studentassignmentitems,due_at,timestamp with time zone,YES,
studentassignmentitems,student_id,bigint,NO,
classstudents,class_id,bigint,YES,
questioncategories,name,text,NO,
questions,content,text,NO,
generalfeedback,overall_comments,text,YES,
grading,submission_id,bigint,NO,
questionsnapshots,prompt,text,YES,
inlineannotations,annotation_content,text,YES,
publishedassignments,archived_at,timestamp with time zone,YES,
randomrules,quantity,integer,NO,
assignmenttemplates,name,text,NO,
studentsubmissions,student_id,bigint,NO,
publishedassignments,class_id,bigint,NO,
classcourseapplications,class_id,bigint,YES,
questionsnapshots,rubric_id,bigint,YES,
grading,grading_status,text,NO,'pending'::text
studentassignmentitems,status,text,NO,'not started'::text
questionsnapshots,image_url,text,YES,
generatedschedules,session_id,bigint,YES,
questions,created_by,bigint,YES,
generalfeedback,suggestions,text,YES,
studentclasses,student_id,bigint,NO,
criterionscores,score,integer,YES,
inlineannotations,annotation_type,text,YES,
coursesessions,course_id,bigint,YES,
assignmentdraftitems,instance_id,bigint,NO,
questionsnapshots,image,text,YES,
teachers,name,text,NO,
assignmentdrafts,name,text,NO,
generatedschedules,scheduled_date,date,NO,
