table_name,column_name,foreign_table_name,foreign_column_name
questions,category_id,questioncategories,id
questions,created_by,teachers,id
questions,type_id,questiontypes,id
assignmenttemplateitems,question_id,questions,id
assignmenttemplateitems,set_id,assignmenttemplates,id
assignmentdrafts,original_set_id,assignmenttemplates,id
assignmentdraftitems,instance_id,assignmentdrafts,id
assignmentdraftitems,question_id,questions,id
teacherclasses,class_id,classes,id
teacherclasses,teacher_id,teachers,id
questioncategories,type_id,questiontypes,id
studentclasses,class_id,classes,id
studentclasses,student_id,students,id
publishedassignments,class_id,classes,id
publishedassignments,instance_id,assignmentdrafts,id
randomrules,category_id,questioncategories,id
randomrules,assignment_set_id,assignmentdrafts,id
randomrules,question_type_id,questiontypes,id
studentassignmentitems,assignment_id,publishedassignments,id
studentassignmentitems,question_id,questions,id
studentassignmentitems,snapshot_id,questionsnapshots,id
studentassignmentitems,student_id,students,id
studentsubmissions,assignment_item_id,studentassignmentitems,id
studentsubmissions,student_id,students,id
questionsnapshots,question_category_id,questioncategories,id
questionsnapshots,question_type_id,questiontypes,id
questionsnapshots,rubric_id,rubrics,id
grading,submission_id,studentsubmissions,id
grading,teacher_id,teachers,id
generalfeedback,grading_id,grading,id
inlineannotations,submission_id,studentsubmissions,id
criterionscores,criterion_id,rubriccriteria,id
criterionscores,grading_id,grading,id
rubriccriteria,rubric_id,rubrics,id
courses,created_by,teachers,id
coursesessions,course_id,courses,id
classcourseapplications,class_id,classes,id
classcourseapplications,course_id,courses,id
generatedschedules,class_id,classes,id
generatedschedules,session_id,coursesessions,id
classstudents,class_id,classes,id
classstudents,student_id,students,id
